ORDER,First Name,Last Name,Mailing Street,Mailing City,Mailing State,Mailing Zip,Phone,Phone to Name,Phone Is Valid,Phone Line Type,Phone Is Prepaid,Phone Is Commercial,Address to Name,Address Is Valid,Address Type,Address Is Active,Address Is Commercial,Call Disposition
29,David,Fontana,859 Woodside Circle,Panama City,FL,32401,773-522-6272,Match,TRUE,Fixed VOIP,FALSE,TRUE,Match,TRUE,Multi unit,TRUE,TRUE,6
30,Angela,Burrus,1320 Maple Lane,Birmingham,AL,35203,502-957-2279,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Commercial mail drop,TRUE,TRUE,6
31,Monica,Rael,3311 Shady Pines Drive,Madisonville,KY,42431,440-877-8000,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
32,Terry,Sano,132 Aviation Way,Los Angeles,CA,90017,216-410-7720,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,FALSE,6
33,James,Barry,1672 Bingamon Road,Mayfield Heights,OH,44124,712-825-6648,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,Not Valid Address,FALSE,Not Valid Address,Not Valid Address,Not Valid Address,6
34,Jeremy,Qualls,4175 Columbia Road,Wrangle Hill,DE,19720,206-412-9905,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
35,Tammy,Joseph,1577 Austin Avenue,Savannah,GA,31405,850-951-7825,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
36,Frank,Sexton,3825 Pritchard Court,Winona,MN,55987,404-341-6209,No name found,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,5
37,Melissa,Huskey,906 Duff Avenue,South Burlington,VT,5403,979-387-9151,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
38,Arthur,Oldham,3894 Hamill Avenue,San Diego,CA,92109,408-281-8171,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
39,Michael,Zook,2667 Marion Drive,Tampa,FL,33624,601-540-1192,Match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,FALSE,1
40,Deborah,Cole,1759 Terra Cotta Street,Wahpeton,MN,58075,404-781-7547,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,5
41,Kevin,Richardson,115 Hidden Pond Road,Nashville,TN,37238,408-380-4741,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,FALSE,5
42,Christopher,Griffin,4275 Lodgeville Road,Minneapolis,MN,55406,208-596-6472,Match,TRUE,Fixed VOIP,FALSE,TRUE,Match,TRUE,PO box,TRUE,TRUE,6
43,Renee,Williams,760 Dale Avenue,Puyallup,WA,98371,305-702-1715,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
44,Newton,Ransom,4681 Kinney Street,Springfield,MA,1115,614-452-3926,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
45,Jessie,Huang,4280 Camden Street,Reno,NV,89501,702-204-7896,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
46,William,Rose,263 Meadow Lane,Ukiah,CA,95482,914-500-4413,No match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
47,Harry,McCord,4159 Tea Berry Lane,Wausau,WI,54403,212-991-8819,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
48,Mallory,Sutton,4746 Worthington Drive,Plano,TX,75074,253-964-2978,Match,TRUE,Non-fixed VOIP,TRUE,TRUE,Not in Database,TRUE,Not in Database,Not in Database,Not in Database,1
49,Eric,Godwin,2439 Davis Avenue,Benicia,CA,94510,781-251-9280,Match,TRUE,Fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,1
50,Lucinda,Frederick,3831 Happy Hollow Road,Wallace,NC,28466,304-294-7413,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,1
51,Dale,Larson,4566 Bingamon Branch Road,Wheeling,IL,60090,303-629-7706,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,FALSE,6
52,Lillie,Mudd,4453 Villa Drive,Monticello,IN,47960,712-607-1860,No match,TRUE,Fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,FALSE,6
53,Adam,Caine,1370 Fairway Drive,Oakland,CA,94612,919-334-3280,No match,TRUE,Landline,FALSE,FALSE,No match,TRUE,Single unit,TRUE,TRUE,6
54,Sandra,Jefferson,3612 Rainy Day Drive,Belmont,MA,2178,202-225-5533,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,1
55,Wendy,Daughtry,4501 Red Bud Lane,Plant City,FL,33566,314-371-5861,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
56,Kelli,Youngblood,4315 Riverside Drive,Calhoun,GA,30701,440-262-0499,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,1
57,Sandra,Ouellette,2518 Lindale Avenue,Oakland,CA,94612,617-922-3659,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,1
58,John,Pitchford,2744 McDowell Street,Erin,TN,37061,620-863-5535,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
59,Richard,Black,2313 Eagle Drive,Wayne,MI,48184,512-890-1966,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
60,Doris,Smith,1115 Rafe Lane,Jackson,MS,39201,626-966-2333,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
61,Deborah,Aguirre,2303 McDonald Avenue,Kissimmee,FL,34741,507-249-3136,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
62,Benjamin,Platt,667 Garrett Street,Battle Creek,MI,49015,785-830-5676,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
63,Jacqueline,Smith,1984 New Street,Portland,OR,97209,413-653-1591,No match,TRUE,Fixed VOIP,Unknown,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
64,Ida,McQueen,1697 Burnside Court,Phoenix,AZ,85003,347-245-3765,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,Match,TRUE,Single unit,TRUE,FALSE,5
65,Daniel,Walker,4422 Fleming Way,Mechanicsville,VA,23111,304-489-5376,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,PO box,TRUE,TRUE,6
66,Joseph,Evans,1524 George Avenue,Mobile,AL,36608,610-823-3719,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,PO box,TRUE,FALSE,5
67,Melissa,Curry,58 Old Dear Lane,Red Hook,NY,12571,443-365-1589,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Commercial mail drop,TRUE,TRUE,6
68,Sonya,Vineyard,4266 Pin Oak Drive,Bellflower,CA,90706,920-266-4191,No match,TRUE,Mobile,Unknown,FALSE,Not in Database,TRUE,Not in Database,Not in Database,Not in Database,1
69,Hubert,Anderson,2149 Lucy Lane,Bicknell,IN,47512,404-522-5623,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
70,Easter,Robbins,1543 Lunetta Street,Bellevue,TX,77418,316-334-5448,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,3
71,Mary,Quezada,2676 Tetrick Road,Avon Park,FL,33825,425-409-4115,No match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,FALSE,6
72,Nickolas,Dinkel,3912 Lost Creek Road,Philadelphia,PA,19108,814-798-0626,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
73,Amy,Bolte,3764 Science Center Drive,Rockland,ID,83271,661-621-4608,No match,TRUE,Fixed VOIP,FALSE,FALSE,No match,TRUE,Multi unit,TRUE,TRUE,4
74,Robert,Arcand,4960 Elsie Drive,Sioux Falls,SD,57102,847-477-2464,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,4
75,John,Peterman,1214 Hartway Street,Burke,SD,57523,803-898-8975,No match,TRUE,Landline,FALSE,FALSE,Match,TRUE,Single unit,TRUE,FALSE,5
76,Yvonne,Schlemmer,4812 Giraffe Hill Drive,Frisco,TX,75034,409-381-0775,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Multi unit,TRUE,TRUE,4
77,Romeo,Crenshaw,610 Quiet Valley Lane,Northridge,CA,91324,773-583-9798,No match,TRUE,Fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,FALSE,6
78,Twila,Stephens,4043 Chatham Way,Washington,MD,20008,770-565-1680,No match,TRUE,Landline,Unknown,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
79,Larhonda,Day,1987 Hurry Street,Marshall,VA,27115,214-815-7995,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Multi unit,TRUE,TRUE,1
80,Hazel,McCants,174 Anthony Avenue,Abilene,TX,79602,714-231-7477,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,1
81,Nereida,Mills,231 Tyler Avenue,Ft Lauderdale,FL,33311,530-869-6335,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,5
82,William,Thompson,1524 Locust Court,Los Angeles,CA,90017,781-831-6755,Match,TRUE,Non-fixed VOIP,Unknown,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
83,Maurice,Davis,4020 Hillside Drive,West Roxbury,MA,2132,562-965-4213,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
84,Richard,Baratta,1435 Owagner Lane,Seattle,WA,98161,214-268-1656,No match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,5
85,Frederick,Kohler,1496 Nancy Street,Wake Forest,NC,27587,619-844-4636,Match,TRUE,Non-fixed VOIP,FALSE,TRUE,Match,TRUE,Multi unit,TRUE,TRUE,1
86,Marjorie,Evans,4210 Charmaine Lane,Seagraves,TX,79359,413-542-7908,No match,TRUE,Landline,FALSE,FALSE,Match,TRUE,Single unit,TRUE,FALSE,5
87,Jannet,Doris,2788 Poplar Street,Schaumburg,IL,60173,503-205-6729,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,Match,TRUE,Single unit,TRUE,FALSE,6
88,Leonard,Comstock,347 Rosewood Court,Minneapolis,MN,55415,937-650-8359,No name found,TRUE,Non-fixed VOIP,Unknown,TRUE,Match,TRUE,Single unit,TRUE,TRUE,1
89,Raymond,Williams,697 Rocky Road,Philadelphia,PA,19108,401-458-8709,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
90,Maureen,Myers,1884 Lilac Lane,Savannah,GA,31401,814-202-7826,No match,TRUE,Landline,FALSE,FALSE,No match,TRUE,Multi unit,TRUE,TRUE,6
91,Anna,Bondi,764 Tenmile Road,Boston,MA,2110,318-590-7053,No match,TRUE,Landline,FALSE,FALSE,No name found,TRUE,PO box,FALSE,FALSE,6
92,Sherry,Jones,2932 Mapleview Drive,Memphis,TN,38110,832-261-0222,No match,TRUE,Landline,FALSE,FALSE,No name found,TRUE,PO box,FALSE,FALSE,6
93,Charlotte,Innes,1690 Flynn Street,Garfield Heights,OH,44125,412-466-0379,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,3
94,Lora,Burgess,4479 Ralph Drive,Berea,OH,44017,512-848-2787,Match,TRUE,Fixed VOIP,Unknown,FALSE,No match,TRUE,Multi unit,TRUE,TRUE,3
95,Lydia,Washington,3102 Gordon Street,Irvine,CA,92614,540-268-2543,Match,TRUE,Fixed VOIP,FALSE,FALSE,Match,TRUE,Unknown address type,Unknown,TRUE,1
96,George,McNamara,4530 Wilkinson Court,Fort Myers,FL,33901,303-910-5911,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
97,Fernando,Kutz,4079 Red Bud Lane,Newark,NJ,7102,423-400-6385,Not Valid,FALSE,No Type,No Phone,No Phone,No match,TRUE,Single unit,TRUE,TRUE,3
98,Ronnie,Haskins,97 Linden Avenue,Kissimmee,FL,34741,817-453-5367,Match,TRUE,Fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,1
99,Jack,Baldwin,2783 Harley Vincent Drive,North Olmsted,OH,44070,931-247-0780,Not Valid,FALSE,No Type,No Phone,No Phone,Match,TRUE,Multi unit,TRUE,TRUE,3
100,Charles,Allen,4895 Romines Mill Road,Dallas,TX,75248,562-297-5057,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
101,Cynthia,Green,1801 Pretty View Lane,Concord,CA,94520,219-384-3880,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
102,Ruth,McDonough,3353 Despard Street,Atlanta,GA,30310,704-424-2552,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
103,Lawrence,Harper,3779 Carriage Court,El Centro,CA,92243,651-367-4915,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
104,Donna,Norberg,772 Caldwell Road,Rochester,NY,14624,440-285-7292,Not Valid,FALSE,No Type,No Phone,No Phone,No match,TRUE,Multi unit,TRUE,TRUE,3
105,Antonio,Ramirez,371 Cameron Road,Buffalo,NY,14216,718-548-9214,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
106,Morris,Stuart,870 Hannah Street,Ellenboro,NC,28040,518-752-3460,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
107,Eric,Withers,1858 Bassell Avenue,Wichita,AR,67202,480-627-6546,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
108,Mai,Austin,3746 Joseph Street,Brookfield,WI,53005,630-387-1874,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,No name found,TRUE,Multi unit,TRUE,TRUE,5
109,Victoria,Young,2596 Chipmunk Lane,Winterport,ME,4496,832-697-3765,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,No name found,TRUE,Multi unit,TRUE,TRUE,5
110,Lawrence,Johnson,831 East Avenue,Mesa,AZ,85205,708-695-4126,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,No match,TRUE,Single unit,TRUE,TRUE,5
111,Gladys,Evans,1759 Brentwood Drive,Austin,TX,78702,206-315-0799,No match,TRUE,Non-fixed VOIP,TRUE,TRUE,No name found,TRUE,Multi unit,TRUE,TRUE,5
112,Maryann,Troutman,220 Ingram Road,Greensboro,NC,27409,603-347-7389,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,No name found,TRUE,Multi unit,TRUE,TRUE,5
113,Christie,Stennis,4294 Lightning Point Drive,Memphis,TN,38110,586-799-8518,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
114,James,Ware,1232 Langtown Road,Bettendorf,IA,52722,949-448-0308,Match,TRUE,Fixed VOIP,FALSE,FALSE,Match,TRUE,Single unit,TRUE,FALSE,5
115,Louis,Wright,1375 Conifer Drive,Everett,WA,98203,323-596-5076,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,1
116,Gary,Roberts,4694 Happy Hollow Road,Fairmont,NC,28340,707-827-6961,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
117,Vicki,Meaney,1383 Straford Park,Cody,KY,41808,714-280-5483,No match,TRUE,Fixed VOIP,FALSE,TRUE,No name found,TRUE,PO box,TRUE,FALSE,6
118,Marie,Iverson,4392 Virgil Street,Tallahassee,FL,32301,912-474-7575,Match,TRUE,Non-fixed VOIP,FALSE,FALSE,No match,TRUE,Multi unit,TRUE,TRUE,3
119,Vera,Wilson,868 Berry Street,Cripple Creek,CO,80813,605-724-1149,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
120,Amanda,Crews,2610 B Street,Hastings,MN,55033,586-598-7606,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
121,Susan,Everett,2926 Oakridge Farm Lane,Milwaukee,WI,53202,504-314-0259,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
122,Anthony,Soto,2301 Radford Street,Louisville,KY,40223,732-566-8363,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
123,Brenda,Wick,3040 Augusta Park,Logan,WV,25601,601-604-2771,Match,TRUE,Non-fixed VOIP,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,1
124,Charles,Foy,3302 Rockford Road,Reno,NV,89501,870-409-5883,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,5
125,Debbie,Moritz,4260 Kenwood Place,Fort Lauderdale,FL,33301,401-338-0120,No name found,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,5
126,Jarrod,Levan,1779 Short Street,Austin,TX,78701,954-405-5540,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
127,Jeanne,Wilson,4625 Lyon Avenue,New Bedford,MA,2740,503-595-2178,Match,TRUE,Mobile,Unknown,FALSE,No match,TRUE,Multi unit,TRUE,TRUE,3
128,Jim,Smith,1027 Fire Access Road,High Point,NC,27260,858-289-0716,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,5
129,Shawn,Larson,2886 Bruce Street,Saint Louis,MO,63141,507-634-4126,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,1
130,Danny,Brown,2715 Harron Drive,Annapolis,MD,21401,906-596-9671,Match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,PO box,TRUE,FALSE,1
131,Jessica,Valles,444 Raintree Boulevard,Fillmore,IN,46128,616-742-3103,No match,TRUE,Landline,FALSE,FALSE,No match,TRUE,Single unit,TRUE,TRUE,5
132,Donna,Perez,1255 Grant Street,Lindale,TX,75771,941-219-9477,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
133,Angela,Parker,1859 Main Street,Tukwila,WA,98168,775-288-6685,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,3
134,Virginia,Crawford,3852 Preston Street,Phoenix,AZ,85034,812-696-6035,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,6
135,Sergio,Gutierrez,3519 Cedar Street,Dyess,AR,72330,580-477-4514,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
136,Robert,Castellanos,4809 Carriage Court,Ridgecrest,CA,93555,612-770-2555,No match,TRUE,Fixed VOIP,FALSE,FALSE,No match,TRUE,PO box,TRUE,FALSE,5
137,Tyler,Hatfield,955 Roguski Road,Shreveport,LA,71101,702-808-6566,No match,TRUE,Fixed VOIP,FALSE,FALSE,No match,TRUE,PO box,TRUE,FALSE,5
138,Jeanette,Cantrell,2844 Burnside Avenue,Corinne,UT,84307,407-901-1439,No match,TRUE,Fixed VOIP,FALSE,FALSE,No match,TRUE,PO box,TRUE,FALSE,5
139,Helen,Thompson,413 Anmoore Road,Bronx,NY,10463,229-776-3757,No name found,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,FALSE,5
140,Melvin,Whitfield,1769 Tennessee Avenue,Troy,MI,48084,972-589-6258,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,3
141,Catherine,Edgar,1688 Shobe Lane,Steamboat Springs,CO,80487,985-848-1820,No match,TRUE,Non-fixed VOIP,Unknown,TRUE,Not in Database,TRUE,Not in Database,Not in Database,Not in Database,6
142,Kerry,Fielder,3308 Badger Pond Lane,Tampa,FL,33602,559-767-0320,No match,TRUE,Fixed VOIP,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,3
143,Thomas,Melton,1810 Woodlawn Drive,Milwaukee,WI,53223,256-298-1555,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,6
144,Agnes,Conley,3231 Charla Lane,Dallas,TX,75204,215-343-3890,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
145,Marie,Graham,550 Broaddus Avenue,Battle Creek,MI,49015,717-486-5274,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Multi unit,TRUE,TRUE,6
146,Michele,Raines,4015 Raver Croft Drive,Mountain City,TN,37683,786-381-7375,Match,TRUE,Mobile,Unknown,FALSE,Not in Database,TRUE,Not in Database,Not in Database,Not in Database,1
147,Keshia,Franklin,2680 Crummit Lane,Byron,NE,68325,850-538-7085,Match,TRUE,Landline,FALSE,TRUE,Match,TRUE,Single unit,TRUE,TRUE,4
148,Ollie,Wilson,987 Atha Drive,Bakersfield,CA,93301,201-631-1158,No match,TRUE,Landline,FALSE,TRUE,No match,TRUE,Single unit,TRUE,TRUE,3
149,Donna,Hayden,624 Patton Lane,Raleigh,NC,27603,817-304-3301,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No name found,TRUE,Multi unit,TRUE,TRUE,6
150,Ester,Medrano,4235 Walkers Ridge Way,Chicago,IL,60606,602-561-1722,No match,TRUE,Non-fixed VOIP,FALSE,TRUE,No name found,TRUE,Multi unit,TRUE,TRUE,6
